Name,Symbol,ISIN,Index,Closing Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
SHANIV,SHAN,IL0010808371,"TA-Growth, TA-AllShare, TA-Industrials",495.7,2.59,100.51,EoD
SHAPIR      ENG,SPEN,IL0011338758,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Family",2250,5.63,29156.29,EoD
SHEFA YAMIM,SEFA,IL0003410169,,22.3,1.83,4.23,EoD
SHEMEN INDUSTRY,SMNIN,IL0006340306,"TA-Growth, TA-AllShare, TA-Industrials",497.1,0.95,4.55,EoD
SHIKUN & BINUI,SKBN,IL0010819428,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Construction",1360,1.34,35823.59,EoD
SHOHAM BUSINESS,SHOM,IL0010820079,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",740.7,1.17,279.21,EoD
SHUFERSAL,SAE,IL0007770378,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",2224,0.14,51505.69,EoD
SKYLINE,SKLN,CA83084Y1007,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",1818,0.72,4.58,EoD
SOLEGREEN,SLGN,IL0011022352,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Energy Utilities",1291,-0.08,103.46,EoD
SOMOTO,SMTO,VGG826421023,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",125.8,1.37,99.85,EoD
SPACE COM,SCC,IL0010923451,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon",542.5,-1.35,1645.81,EoD
SPRING,SPRG,IL0010973449,,627.7,0,0,EoD
SPUNTECH,SPNTC,IL0010901176,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",725.7,2.33,611.48,EoD
STG,STG,IL0005500124,,1198,6.11,54.24,EoD
STRAUSS GROUP,STRS,IL0007460160,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Family",10190,1.9,39106.4,EoD
SUMMIT,SMT,IL0010816861,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad",4200,-2.71,5240.91,EoD
SUNFLOWER,SNFL,IL0010987555,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Energy Utilities",550,-1.77,178.19,EoD
SUNY COMMUN,SNCM,IL0010823537,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",100,0.3,51.46,EoD
SYNEL,SNEL,IL0010849532,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",3177,-3.11,43.04,EoD
TADIR GAN,TDGN,IL0010901416,,11.3,-10.32,7.43,EoD
TADIRAN HOLDING,TDRN,IL0002580129,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",14160,1.72,749.53,EoD
TALDOR,TALD,IL0004770181,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon",1406,3.23,67.69,EoD
TAMAR PET,TMRP,IL0011413577,"TA-SME60, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",252,2.9,4325.34,EoD
TASE,TASE,IL0011590291,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150",1300,-7.8,11788.23,EoD
TAT TECHNO,TATT,IL0010827264,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",1362,-0.07,18.42,EoD
TAYA INV,TAYA,IL0007960110,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",5747,-0.66,0.22,EoD
TCHNOPLS VENT,TNPV,IL0010834195,,102.1,1.09,226.94,EoD
TEDEA,TEDE,IL0001420186,"TA-Growth, TA-AllShare",1134,-3.65,17.18,EoD
TEFRON,TFRLF,IL0010825854,,215.5,0,8.62,EoD
TELRAD NETWORKS,TLRD,IL0011409534,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA-Industrials",70,0,2.81,EoD
TELSYS,TLSY,IL0003540197,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",6209,0,59.99,EoD
TEUZA,TUZA,IL0002900236,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",39,2.09,5.45,EoD
TEVA,TEVA,IL0006290147,"TA-35, TA-125, TA-Biomed Index, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",3541,0.88,100231.41,EoD
TGBR,TIGBUR,IL0011050221,,1099,0,0,EoD
TIV TAAM,TTAM,IL0001030100,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",276.6,2.1,3286.25,EoD
TOGETHER,TGTR,IL0004620105,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",329,0.61,863.77,EoD
TOP SYSTEMS,TOPS,IL0010833775,,314.9,0,6.3,EoD
TOWER,TSEM,IL0010823792,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",6313,3.68,43668.33,EoD
TRENDLINE,TREN,IL0002710155,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",1298,-0.15,0.22,EoD
UNET CREDIT,UNCR,IL0010806052,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",2278,-0.09,15.2,EoD
UNION,UNON,IL0007223147,"TA-Finance Index, TA-Maala Index, TA-Growth, TA-AllShare",1486,3.34,1244.77,EoD
UNITRONICS,UNIT,IL0010838311,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",641.7,0.05,124.68,EoD
UNIVO,UNVO,IL0010935588,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA-Industrials",324.2,2.11,641.96,EoD
UTRON,UTRN,IL0011571143,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",492.3,1.97,17.87,EoD
VICTORY,VCTR,IL0011237778,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",6646,2.67,2646.56,EoD
VILLAR,VILR,IL0004160169,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",11890,-0.92,17.83,EoD
VISION SIGMA,VISN,IL0003500175,,4122,0.07,6.68,EoD
VITALA CAPIT-M,VTLC-M,IL0008240116,,73.3,0,0,EoD
VITANIA,VTNA,IL0011099665,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties in Israel",1880,1.62,873.91,EoD
VONETIZE,VNTZ,CY0106661412,,18,0,0,EoD
WHITESMOKE,WSMK,IL0002160104,,43.8,2.1,3.46,EoD
WHITESTONE,WTS,IL0010823461,,619.6,3.84,2.42,EoD
WILLY FOOD,WLFD,IL0003710139,"TA-Growth, TA-AllShare, TA-Rimon",2956,3.18,82.55,EoD
XENIA,XENA,IL0010995715,,159,0.51,7.95,EoD
XTL BIO,XTLB,IL0010854979,,4.1,0,26.43,EoD
YAACOBI GROUP,YAAC,IL0011424210,,33,0,57.39,EoD
YBOX,YBOX,IL0004860271,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",59.9,-0.83,48.19,EoD
YOCHANANOF,YHNF,IL0011612640,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",15850,3.93,606.82,EoD
ZANLAKOL,ZNKL,IL0001300131,"TA-Growth, TA-AllShare, TA-Industrials",1936,1.04,13.92,EoD
ZMH,ZMH,IL0011040586,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction",1328,0.08,32.75,EoD
ZUR,ZUR,IL0007300101,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",736.8,1.1,796.64,EoD
